date,rain_mm,number,expver,temp_c,spatial_ref,spei
2004-10-01,73.45632,0,0001,27.198029,0,-0.5592272
2004-11-01,30.152327,0,0001,27.524078,0,-0.5998321
2004-12-01,8.5545435,0,0001,27.624054,0,-0.6317571
2005-01-01,4.385196,0,0001,26.386871,0,-0.6391513
2005-02-01,15.306509,0,0001,30.246704,0,-0.64443076
2005-03-01,44.385803,0,0001,30.667847,0,-0.5793077
2005-04-01,61.97583,0,0001,30.098724,0,-0.7631778
2005-05-01,94.156586,0,0001,28.527618,0,-0.7265219
2005-06-01,139.4356,0,0001,26.751678,0,-0.3808297
2005-07-01,150.74742,0,0001,25.710052,0,-0.39174673
2005-08-01,143.08997,0,0001,25.119873,0,-0.4968388
2005-09-01,139.34944,0,0001,25.968323,0,-0.48257968
2005-10-01,81.90352,0,0001,26.89087,0,-0.32469246
2005-11-01,21.411543,0,0001,27.56018,0,-0.39763987
2005-12-01,7.6395445,0,0001,27.25232,0,-0.38510904
2006-01-01,8.300753,0,0001,28.051361,0,-0.44776747
2006-02-01,10.480717,0,0001,29.339111,0,-0.52556163
2006-03-01,39.410915,0,0001,30.173767,0,-0.6680687
2006-04-01,44.81302,0,0001,30.360382,0,-0.75187284
2006-05-01,108.8093,0,0001,28.373383,0,-0.64699244
2006-06-01,127.09339,0,0001,27.530731,0,-0.89141643
2006-07-01,138.9936,0,0001,26.331787,0,-1.215629
2006-08-01,156.16504,0,0001,25.317871,0,-1.1832784
2006-09-01,168.79861,0,0001,25.491302,0,-0.8612103
2006-10-01,92.77436,0,0001,26.864899,0,-0.70236075
2006-11-01,11.038451,0,0001,27.000854,0,-0.72158384
2006-12-01,5.1085715,0,0001,26.511383,0,-0.6994522
2007-01-01,2.1403894,0,0001,26.556244,0,-0.67190623
2007-02-01,11.944968,0,0001,29.458038,0,-0.7370004
2007-03-01,29.125708,0,0001,30.713562,0,-0.8029207
2007-04-01,93.46451,0,0001,29.728455,0,-0.34806836
2007-05-01,90.42354,0,0001,28.710114,0,-0.42467195
2007-06-01,106.13758,0,0001,27.2919,0,-0.5323041
2007-07-01,179.64821,0,0001,26.03479,0,-0.12908094
2007-08-01,221.55365,0,0001,25.216797,0,0.56259525
2007-09-01,178.59459,0,0001,25.731659,0,0.3880095
2007-10-01,76.54296,0,0001,27.008362,0,0.082722664
2007-11-01,22.478502,0,0001,27.75647,0,0.22475223
2007-12-01,9.348372,0,0001,27.019714,0,0.23194525
2008-01-01,1.9453295,0,0001,25.788177,0,0.24330272
2008-02-01,6.1713505,0,0001,28.891907,0,0.30518475
2008-03-01,39.600815,0,0001,29.884766,0,0.37448293
2008-04-01,49.46087,0,0001,29.916656,0,0.01847082
2008-05-01,114.47381,0,0001,28.803009,0,0.06425131
2008-06-01,145.40286,0,0001,27.23944,0,0.40864694
2008-07-01,194.5702,0,0001,25.853882,0,0.5000716
2008-08-01,201.195,0,0001,25.38916,0,0.23392819
2008-09-01,147.12724,0,0001,25.989136,0,0.15502205
2008-10-01,85.48085,0,0001,27.020538,0,0.25802913
2008-11-01,15.899678,0,0001,27.44513,0,0.14856327
2008-12-01,14.708683,0,0001,27.483124,0,0.16209725
2009-01-01,4.028708,0,0001,26.972229,0,0.14144568
2009-02-01,20.81548,0,0001,29.788452,0,0.18105306
2009-03-01,47.707764,0,0001,30.53067,0,0.2693289
2009-04-01,60.332485,0,0001,29.698761,0,0.31300092
2009-05-01,87.603806,0,0001,29.162994,0,0.15734103
2009-06-01,157.97212,0,0001,27.428955,0,0.13060106
2009-07-01,169.65063,0,0001,25.97934,0,-0.0705067
2009-08-01,187.97345,0,0001,25.616455,0,-0.26255593
2009-09-01,151.95749,0,0001,26.13681,0,-0.111403584
2009-10-01,83.0944,0,0001,27.013092,0,0.069350146
2009-11-01,24.991926,0,0001,27.424774,0,0.10958085
2009-12-01,8.597735,0,0001,27.654327,0,0.0448293
2010-01-01,5.002658,0,0001,28.049957,0,-0.03205845
2010-02-01,19.45688,0,0001,30.243011,0,-0.089408234
2010-03-01,38.71285,0,0001,30.941193,0,-0.19264324
2010-04-01,60.646313,0,0001,30.547241,0,-0.11590393
2010-05-01,98.2152,0,0001,29.230133,0,-0.119158246
2010-06-01,147.03293,0,0001,27.476837,0,-0.11668021
2010-07-01,153.36209,0,0001,26.112122,0,-0.20817636
2010-08-01,206.7402,0,0001,25.869812,0,-0.07245547
2010-09-01,200.51122,0,0001,25.920837,0,0.3087076
2010-10-01,119.07737,0,0001,26.847168,0,0.5061724
2010-11-01,30.836403,0,0001,27.887695,0,0.50600356
2010-12-01,8.640884,0,0001,27.23117,0,0.51259345
2011-01-01,4.9056506,0,0001,27.071228,0,0.5715979
2011-02-01,27.634312,0,0001,29.247925,0,0.6895125
2011-03-01,51.12196,0,0001,30.535553,0,0.6444764
2011-04-01,56.041317,0,0001,30.04773,0,0.49008855
2011-05-01,90.524956,0,0001,29.109253,0,0.41306573
2011-06-01,137.03485,0,0001,27.525665,0,0.15553181
2011-07-01,152.40387,0,0001,26.137604,0,0.16700555
2011-08-01,184.24811,0,0001,25.471558,0,-0.18476279
2011-09-01,149.09792,0,0001,26.08429,0,-0.6092571
2011-10-01,106.065605,0,0001,27.065338,0,-0.79801434
2011-11-01,11.805793,0,0001,27.953156,0,-0.9334565
2011-12-01,3.709731,0,0001,26.62027,0,-0.93056655
2012-01-01,3.1631265,0,0001,26.979126,0,-0.9209402
2012-02-01,18.317698,0,0001,28.937256,0,-0.9161059
2012-03-01,22.55644,0,0001,30.384003,0,-0.970596
2012-04-01,63.987938,0,0001,29.60434,0,-0.77193373
2012-05-01,103.95469,0,0001,28.116669,0,-0.5057621
2012-06-01,135.07715,0,0001,26.87857,0,-0.3243762
2012-07-01,175.01086,0,0001,25.569489,0,-0.07886594
2012-08-01,169.62299,0,0001,25.334778,0,0.22632582
2012-09-01,160.42519,0,0001,25.901001,0,0.38154548
2012-10-01,130.75304,0,0001,26.99823,0,0.23090242
2012-11-01,25.795124,0,0001,28.227997,0,0.366027
2012-12-01,8.597093,0,0001,27.487732,0,0.4610077
2013-01-01,2.8612273,0,0001,27.754303,0,0.430185
2013-02-01,13.105925,0,0001,29.642548,0,0.26139614
2013-03-01,50.62942,0,0001,30.50943,0,0.40702116
2013-04-01,52.59244,0,0001,29.480408,0,0.5452641
2013-05-01,83.20573,0,0001,28.616028,0,0.37920567
2013-06-01,96.03083,0,0001,27.345581,0,0.07641148
